"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"PRKD3",276.950893716124,-0.236344967726676,0.103773830496243,0.00475156923773349,0.0106479641781924,"Not Significant"
"NBN",784.632457558257,-0.129771239759991,0.049776648188736,0.00475891781051675,0.0106629098936939,"Not Significant"
"C11orf52",72.44795513206,0.397757665849586,0.199345759490551,0.00476455529385041,0.0106740179956409,"Not Significant"
"TASOR2",623.641921467399,0.153429703738894,0.0608175783925956,0.00476755774735955,0.0106792205212648,"Not Significant"
"ZNF497",36.8949684517022,0.373801005212823,0.18395625017928,0.00477221447032051,0.0106881265597763,"Not Significant"
"AKR1B15",39.256525602075,0.186610382316207,0.077458208391934,0.00477702653545112,0.0106973779213497,"Not Significant"
"APOL1",2762.96618230651,-0.186808694197096,0.0775657213328269,0.004779153577146,0.0107006148261826,"Not Significant"
"TTC37",972.21628702194,-0.139028551703798,0.0540546582695309,0.00479728008365254,0.0107396688027014,"Not Significant"
"UTP23",140.524315077819,-0.230605457751207,0.100844644908328,0.00480437004725729,0.0107540076620957,"Not Significant"
"TPRA1",1642.456639198,-0.111422296549954,0.0418438905777169,0.00481238043772827,0.0107704024051794,"Not Significant"
"GSTCD",114.29584850548,-0.141979298579744,0.0554672409274929,0.00482257242984901,0.0107916743370339,"Not Significant"
"ELOVL1",1084.99307270019,-0.141658439887066,0.0553250552741153,0.00482760843466224,0.0108014040792642,"Not Significant"
"AKAP7",295.528500464564,-0.147806563811864,0.0582365733125199,0.00483425311070902,0.0108147298144958,"Not Significant"
"LPAR2",497.749493697132,-0.228182982942962,0.0996408225356241,0.00483680074353523,0.0108173463922369,"Not Significant"
"TTLL5",544.420934140089,0.142266237067214,0.0556232048931278,0.00483640149035973,0.0108173463922369,"Not Significant"
"CYP20A1",432.305082666162,-0.110319097086537,0.041408515217762,0.00484044086522352,0.0108224040991184,"Not Significant"
"SIN3A",815.383205281855,-0.112086938472452,0.0421565014816903,0.00484027698782718,0.0108224040991184,"Not Significant"
"MOV10L1",27.3193689015538,0.252822111918845,0.113110811659545,0.00484356160677493,0.0108278395594997,"Not Significant"
"PCDHB9",40.1256395309461,-0.213308498846692,0.0916952426411909,0.0048520230156748,0.0108452108977925,"Not Significant"
"CUTA",7764.86789512354,0.131016404011363,0.050473885170826,0.004857397247292,0.0108553975123314,"Not Significant"
