"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007612","learning","22/1126","126/13425",0.174603174603175,2.08174744142773,3.69127942927034,0.000741805907405125,0.019023405332892,0.0164977848618566,"STRA6/TPBG/SNAP25/DRD5/ASIC1/BRSK1/EPHB2/HTR2A/DRD2/NRXN2/GRIN1/DKK1/MAP1A/TACR1/NLGN4Y/GRIA1/NDRG4/SLC6A4/CLDN5/LRRN4/NTRK2/NLGN4X",22
"GO:0061564","axon development","55/1126","424/13425",0.129716981132075,1.54658123596635,3.46038590020432,0.000745000376387603,0.019023405332892,0.0164977848618566,"GAP43/DCLK1/IGSF9/TUBB3/PLXNA4/THY1/BRSK1/EPHB2/BOC/RET/BHLHA15/EPHA10/CDHR2/BHLHE22/DRD2/LRRC4C/MMP2/KIAA1755/PLPPR4/GRM7/TNN/ARTN/RGMA/SHOX2/PTPRZ1/SPP1/PTPRH/SMO/CNTN5/BMPR1B/CRABP2/NELL2/COL25A1/BMP7/MAP1A/SEMA6A/EFNB2/MAP2/WNT7A/CCK/CRTAC1/CNTN6/SEMA6D/SLIT2/NOVA2/SEMA5A/JUN/SEMA3G/KLF4/NTNG1/NTRK2/SHH/LHX9/MAG/GATA3",55
"GO:0022612","gland morphogenesis","20/1126","110/13425",0.181818181818182,2.16777006297433,3.72098878352293,0.00075015223619483,0.0190530687650549,0.0165235100626566,"SULF1/IGF1/SULF2/TP63/MDK/MMP2/CDKN2A/WNT4/BMP7/SFRP1/CAV1/RXFP1/CAV3/MSN/NRG3/TBX3/SOSTDC1/SHH/PLAG1/FGL1",20
"GO:0120162","positive regulation of cold-induced thermogenesis","17/1126","87/13425",0.195402298850575,2.32972989526551,3.76489586870761,0.000789494504776053,0.0199409483177101,0.0172935113104153,"DIO2/TSHR/MFAP2/ADCYAP1/OXTR/SLN/IL13/LCN2/IRF4/ADRB2/CAV1/ADRB1/ACADL/CD36/EPAS1/PPARGC1B/FFAR4",17
"GO:0060537","muscle tissue development","47/1126","349/13425",0.134670487106017,1.60564057673027,3.46868999867827,0.000793461817877469,0.0199409483177101,0.0172935113104153,"FHL2/STRA6/COL14A1/COL3A1/IGF1/TENM4/GREM1/CACNA1G/EYA2/BARX2/ASB2/SIX1/KCNK2/FOXC1/TNN/SHOX2/GPC1/DSP/FHOD3/RGS4/OSR1/RBM24/TP73/WT1/SMO/TWIST1/PKP2/COL11A1/EYA1/BMP7/TNNI3/DKK1/SIX4/ADRA1A/CAV1/EFNB2/NEBL/NDRG4/TNNC1/CAV3/SGCG/POPDC3/HEY1/DLL4/TBX3/ANKRD1/SHH",47
"GO:0045103","intermediate filament-based process","13/1126","58/13425",0.224137931034483,2.67233723280456,3.86185664116308,0.000844811544875272,0.0211202886218818,0.018316277859131,"KRT5/KRT15/KRT14/KRT17/BFSP2/DES/KRT13/KRT23/DSP/KRT40/KRT6A/PKP2/SHH",13
"GO:0003012","muscle system process","49/1126","369/13425",0.132791327913279,1.58323585900157,3.43738040099887,0.000849412211777358,0.0211247047460254,0.0183201076816454,"SULF1/COL14A1/COMP/BDKRB2/FBXO32/IGF1/KCND3/CACNA1G/JSRP1/HTR2A/MLIP/GNAO1/TRPV4/ANK2/SULF2/ASB2/DRD2/DES/CD38/MB/DSP/RGS4/OXTR/SLN/CCDC78/PKP2/TNNI3/CALCA/TACR1/ADRA1A/ADRB2/EDNRB/CAV1/CHRM3/NPR3/TNNC1/CAV3/RCSD1/SCN1A/SCN7A/CHRM2/KLF4/TBX3/TNNT1/SPX/KCNIP1/PPARG/TRPC3/ADRA1B",49
"GO:0048705","skeletal system morphogenesis","28/1126","178/13425",0.157303370786517,1.87548645897779,3.55775413877801,0.000869668975943227,0.0213882800657986,0.0185486897280467,"COMP/COL1A1/COL3A1/TFAP2A/GREM1/TRPV4/BARX2/SIX1/OSR2/MMP2/FOXC1/SHOX2/LTF/HOXC4/OSR1/BMPR1B/TWIST1/SFRP4/RFLNA/COL11A1/EYA1/BMP7/SFRP1/SIX4/HYAL1/WNT7A/TCF15/HHIP",28
"GO:0034765","regulation of monoatomic ion transmembrane transport","36/1126","249/13425",0.144578313253012,1.72376896573862,3.48805322980072,0.000884134503349828,0.0213882800657986,0.0185486897280467,"THY1/MS4A1/CD19/KCNN4/ANK2/KCNS2/WNK2/P2RX5/LRRC26/KCNJ16/RGS4/OSR1/SLN/CBARP/IL13/BPIFA1/LCN2/CACNG6/KCNRG/BDKRB1/GRIN1/MMP9/CALCA/GRIA1/CAV1/DPP6/CAV3/KCNS1/PCSK9/PRKCE/FXYD4/KCNIP1/TRPC3/KCNS3/PLA2G1B/F2RL3",36
"GO:0015669","gas transport","6/1126","15/13425",0.4,4.76909413854352,4.41919831759652,0.000886396806423252,0.0213882800657986,0.0185486897280467,"AQP5/AQP6/MB/HBZ/CA2/HBA2",6
"GO:0060231","mesenchymal to epithelial transition","6/1126","15/13425",0.4,4.76909413854352,4.41919831759652,0.000886396806423252,0.0213882800657986,0.0185486897280467,"GREM1/WNT4/WT1/SMO/TCF15/GATA3",6
"GO:0071880","adenylate cyclase-activating adrenergic receptor signaling pathway","6/1126","15/13425",0.4,4.76909413854352,4.41919831759652,0.000886396806423252,0.0213882800657986,0.0185486897280467,"DRD5/ADRA1A/ADRB2/ADRB1/ADRA1D/ADRA1B",6
"GO:0030501","positive regulation of bone mineralization","10/1126","38/13425",0.263157894736842,3.13756193325231,3.99249278146794,0.000886885749325262,0.0213882800657986,0.0185486897280467,"TFAP2A/OSR2/NELL1/WNT4/LTF/OSR1/BMPR1B/BMP7/ADRB2/KL",10
"GO:0007369","gastrulation","25/1126","153/13425",0.163398692810458,1.94815937032006,3.56889800525757,0.000921882078040495,0.0220197304984496,0.0190963063722019,"COL7A1/ITGB4/TENM4/EYA2/MIXL1/HNF4A/HMGA2/COL5A1/ITGA7/MMP2/FOXC1/MESP2/OSR1/COL5A2/COL11A1/EYA1/BMP7/DKK1/MMP9/SFRP1/EPB41L5/LAMA3/APOA1/TAL1/KLF4",25
"GO:0007338","single fertilization","22/1126","128/13425",0.171875,2.04922013765542,3.60885999561086,0.000922292376898414,0.0220197304984496,0.0190963063722019,"FCRL5/SYT8/CCDC146/SERPINA5/SPA17/SPACA3/CCNO/SPAG8/CFAP57/LRRC46/MCIDAS/LRRIQ1/LCN6/CFAP52/DRC1/ROPN1B/PAEP/SPINK1/CECR2/FOLR3/IZUMO1/TRPC3",22
"GO:0031341","regulation of cell killing","18/1126","96/13425",0.1875,2.23551287744227,3.67586349343564,0.000933141857159846,0.0221679222285486,0.0192248235981505,"CFH/STAP1/CLU/RAET1E/SERPINB4/IL13/NECTIN4/CXCL6/AGER/NCR1/NOS2/ARG1/PRF1/KLRD1/CX3CR1/CLEC12B/ICAM1/KLRC3",18
"GO:0043588","skin development","32/1126","214/13425",0.149532710280374,1.78283893029664,3.49290457863355,0.000943969760533962,0.0223141366660875,0.0193516260445055,"CDH3/SPRR1A/COMP/KRT5/COL1A1/FERMT1/COL3A1/KRT14/GRHL3/ITGB4/COL1A2/TP63/COL5A1/KRT17/CDKN2A/FOXC1/WNT10A/DSP/FST/SMO/COL5A2/KRT6A/FA2H/DKK1/CLDN1/SOX21/SCEL/KLF4/SOSTDC1/KLK5/SHH/LGR5",32
"GO:1990806","ligand-gated ion channel signaling pathway","9/1126","32/13425",0.28125,3.35326931616341,4.03257964054355,0.000948659756537815,0.0223145336821087,0.0193519703511525,"HTR3A/GRIN3B/GRIK2/GRIA3/GRIN1/ADRB2/GRIA1/CHRM3/HTR3C",9
"GO:0001654","eye development","44/1126","324/13425",0.135802469135802,1.61913689888823,3.41336110630058,0.000967592234284409,0.0225637361365016,0.0195680877290708,"STRA6/ALDH1A3/THY1/SAMD11/GRHL3/EPHB2/TFAP2A/SMOC1/SERPINF1/AQP5/MFAP2/OSR2/COL5A1/DRD2/FJX1/PROM1/USH1C/BFSP2/FOXC1/TMEM231/KERA/CNGA3/WT1/COL5A2/BMPR1B/TWIST1/RORB/BMP7/RP1/GPM6A/WNT7A/ACVRL1/CPAMD8/RS1/TSPAN12/NKD1/DLL4/JUN/KLF4/LAMC3/NTRK2/SHH/FBN3/GATA3",44
"GO:0051180","vitamin transport","11/1126","45/13425",0.244444444444444,2.91444641799882,3.892213746263,0.000973430291962163,0.0225637361365016,0.0195680877290708,"STRA6/SLC2A5/SLC2A1/SLC44A4/SLC52A1/SLC2A4/SLC23A1/APOA1/TTPA/SLC19A3/FOLR3",11
"GO:0060688","regulation of morphogenesis of a branching structure","11/1126","45/13425",0.244444444444444,2.91444641799882,3.892213746263,0.000973430291962163,0.0225637361365016,0.0195680877290708,"SULF1/GREM1/SIX1/MDK/SHOX2/SMO/BMP7/SFRP1/SIX4/CAV3/SHH",11
"GO:0072078","nephron tubule morphogenesis","13/1126","59/13425",0.220338983050847,2.62704338140109,3.78965501282418,0.00100183831002938,0.0230136689367509,0.0199582857199621,"KIF26B/ADAMTS16/GREM1/TMEM59L/SIX1/WNT4/OSR1/WT1/SMO/EYA1/SIX4/SHH/GATA3",13
"GO:0007162","negative regulation of cell adhesion","38/1126","269/13425",0.141263940520446,1.68425257680905,3.43009315962103,0.00100623550206571,0.0230136689367509,0.0199582857199621,"POSTN/COL1A1/EPHB2/TRPV4/MDK/MELTF/MMP2/CDKN2A/PLA2G2A/LAX1/SERPINE2/VTCN1/CLEC4G/MMP12/DAPL1/ADAMDEC1/PLA2G2D/CCL25/MUC21/SCGB1A1/EPB41L5/ARHGAP6/SEMA6A/NOTCH4/APOA1/ACVRL1/CDH13/ARG1/LRRC32/SEMA5A/FAM107A/KLF4/RGCC/DLC1/AJAP1/SHH/RND1/FGL1",38
"GO:0060675","ureteric bud morphogenesis","12/1126","52/13425",0.230769230769231,2.75140046454434,3.82867036137042,0.00100729985503266,0.0230136689367509,0.0199582857199621,"KIF26B/ADAMTS16/GREM1/TMEM59L/SIX1/WNT4/WT1/SMO/EYA1/SIX4/SHH/GATA3",12
"GO:0061326","renal tubule development","16/1126","82/13425",0.195121951219512,2.32638738465537,3.64523752239235,0.00113145511231712,0.0256199164451878,0.0222185177834927,"KIF26B/ADAMTS16/GREM1/TMEM59L/SIX1/PROM1/WNT4/CD24/OSR1/WT1/SMO/EYA1/SIX4/SHH/LGR5/GATA3",16
"GO:0030500","regulation of bone mineralization","14/1126","67/13425",0.208955223880597,2.49131783356751,3.70264571880484,0.00113210520836327,0.0256199164451878,0.0222185177834927,"COMP/TFAP2A/GREM1/OSR2/NELL1/WNT4/LTF/OSR1/BMPR1B/TWIST1/RFLNA/BMP7/ADRB2/KL",14
"GO:0042634","regulation of hair cycle","7/1126","21/13425",0.333333333333333,3.97424511545293,4.12709495444531,0.00116585990695001,0.025933290830353,0.022490287379798,"CDH3/FERMT1/KRT17/TRPV3/FST/SMO/FA2H",7
"GO:0002040","sprouting angiogenesis","21/1126","122/13425",0.172131147540984,2.05227411699619,3.53272046451989,0.00116973655490416,0.025933290830353,0.022490287379798,"GREM1/TNN/E2F8/FUT1/SEMA6A/EFNB2/ACVRL1/CDH13/CLEC14A/CLIC3/TEK/SLIT2/RAMP2/DLL4/CDH5/SEMA5A/JCAD/KLF4/CCBE1/ESM1/VEGFD",21
"GO:0007631","feeding behavior","13/1126","60/13425",0.216666666666667,2.5832593250444,3.71893394435013,0.00118254274626576,0.025933290830353,0.022490287379798,"STRA6/ADM2/GDF15/DRD2/MCHR1/NPW/TACR1/CCK/HELT/AGRP/NTRK2/DACH1/PRLH",13
"GO:0030199","collagen fibril organization","13/1126","60/13425",0.216666666666667,2.5832593250444,3.71893394435013,0.00118254274626576,0.025933290830353,0.022490287379798,"COL14A1/COMP/COL1A1/COL3A1/MMP11/GREM1/COL1A2/COL5A1/ADAMTS14/FOXC1/P4HA3/COL5A2/COL11A1",13
"GO:0032835","glomerulus development","13/1126","60/13425",0.216666666666667,2.5832593250444,3.71893394435013,0.00118254274626576,0.025933290830353,0.022490287379798,"SULF1/SULF2/RET/PROM1/FOXC1/CD24/OSR1/WT1/SERPINB7/BMP7/EDNRB/TEK/COL4A3",13
"GO:0035987","endodermal cell differentiation","11/1126","46/13425",0.239130434782609,2.85108888717275,3.80513113921657,0.00118397013633863,0.025933290830353,0.022490287379798,"COL7A1/MIXL1/HMGA2/COL5A1/ITGA7/MMP2/COL5A2/COL11A1/DKK1/MMP9/LAMA3",11
"GO:0061005","cell differentiation involved in kidney development","11/1126","46/13425",0.239130434782609,2.85108888717275,3.80513113921657,0.00118397013633863,0.025933290830353,0.022490287379798,"GREM1/PROM1/WNT4/CD24/OSR1/WT1/SMO/MMP9/EDNRB/SHH/GATA3",11
"GO:0072087","renal vesicle development","5/1126","11/13425",0.454545454545455,5.41942515743581,4.43668138384869,0.00123664744697819,0.0269634317777208,0.0233836628522576,"KIF26B/GREM1/WNT4/OSR1/SMO",5
