"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"TRPC4AP",860.646658748736,-0.253434115480525,0.0559799259766669,3.80022415881106e-06,1.60041629005723e-05,"Not Significant"
"LONP2",1180.67933299025,0.170256560525206,0.0371757060264961,3.80778453204105e-06,1.60317021059384e-05,"Not Significant"
"MTFP1",431.987184760659,-0.516904201055152,0.120418329533977,3.82575834040377e-06,1.61030578939247e-05,"Not Significant"
"MCCC2",193.564480687875,0.320071884291454,0.0715867217493055,3.8554617368152e-06,1.62237333872953e-05,"Not Significant"
"CCDC28A",1515.24078804747,-0.251172905803874,0.0555039403434997,3.86524177339216e-06,1.62605294325447e-05,"Not Significant"
"TSPAN2",125.126705101442,0.527204958327291,0.123226407405103,3.87785018932315e-06,1.63060073147866e-05,"Not Significant"
"PYGO2",52.3705154294011,0.597949070982211,0.142666468621946,3.87812938301995e-06,1.63060073147866e-05,"Not Significant"
"MICOS10-NBL1",23.5219809242578,0.726211579023287,0.183147798903792,3.88892283023257e-06,1.63470116290901e-05,"Not Significant"
"C7orf43",917.028282639956,-0.286989056095618,0.0638278090490804,3.89027534049361e-06,1.63483198195261e-05,"Not Significant"
"SELPLG",2576.24969245087,-0.424909828303327,0.0970778028338722,3.91138831679004e-06,1.64326455910098e-05,"Not Significant"
"TRIM22",1754.2572745742,0.410667592720495,0.0935699079567521,3.92729168744464e-06,1.64950453431998e-05,"Not Significant"
"NUP107",787.682848461488,0.196213520542935,0.0430439155911916,3.93537041867681e-06,1.65245561843343e-05,"Not Significant"
"ABHD12",436.500283713488,-0.246010877790333,0.0543671609606977,3.9410722271488e-06,1.65440732530043e-05,"Not Significant"
"RBAK",12.8885289224497,0.617218473398849,0.14838514182383,3.94586651103654e-06,1.65597712438583e-05,"Not Significant"
"PTPRJ",486.668931862799,-0.333816937209479,0.0749445415686284,3.9529548486651e-06,1.65850858161523e-05,"Not Significant"
"TWSG1",74.6504974752961,0.8009011379375,0.212088457882239,3.95624235037036e-06,1.65944442695203e-05,"Not Significant"
"ZNF26",224.346233669187,0.294040994940514,0.0655408754491238,3.96850513882631e-06,1.66414344763817e-05,"Not Significant"
"GCAT",368.611540611528,-0.377108182943649,0.0853971248672885,3.97237679806166e-06,1.66532218236497e-05,"Not Significant"
"SCUBE1",68.6181761524752,0.62311091511673,0.150250655507964,4.00602238870485e-06,1.67897895095211e-05,"Not Significant"
"CPD",87.5894353713431,0.707666858445745,0.177053147280619,4.00724843153546e-06,1.67903064855341e-05,"Not Significant"
"TMEM237",403.110489972089,0.289817173803773,0.064580911668465,4.00828463106891e-06,1.67903064855341e-05,"Not Significant"
"COMT",8134.56224600702,-0.248554353061752,0.0549964182096957,4.00986850709097e-06,1.67924608059024e-05,"Not Significant"
"TNFAIP2",8378.96498544996,-0.421289166627434,0.0963096801335609,4.01900783480663e-06,1.68229916422191e-05,"Not Significant"
"AC005520.1",23.5988460382527,0.40101441513997,0.0912973086984301,4.01930201592125e-06,1.68229916422191e-05,"Not Significant"
"GTF3C3",223.139814614644,0.434461827244389,0.0996250477273964,4.04456851689858e-06,1.69242339326513e-05,"Not Significant"
"SULT1B1",24.3427945439888,0.856642601772157,0.237635861529412,4.06397194660226e-06,1.70008951669745e-05,"Not Significant"
"PARPBP",89.995372112705,0.294159840318253,0.0656612558302679,4.08767717359565e-06,1.709550655979e-05,"Not Significant"
"OTULINL",539.933780947767,-0.535574839944015,0.125823318337611,4.0960690708617e-06,1.71260411218452e-05,"Not Significant"
"KXD1",1029.58710708741,0.204358736022389,0.0449683317218969,4.10696371996308e-06,1.71670208741801e-05,"Not Significant"
"AREG",106.22373799573,0.856814237885009,0.237952596778189,4.11358089351339e-06,1.71901038137238e-05,"Not Significant"
"TARBP2",1528.92929738856,-0.246840135243902,0.054684395034337,4.14085321084285e-06,1.72994665806899e-05,"Not Significant"
"SLC38A7",122.904215915778,0.414114023762838,0.0946975069308994,4.16357843961142e-06,1.73897795961424e-05,"Not Significant"
"PLEKHH1",152.10110760653,0.572624058936917,0.136087421003447,4.17342869956805e-06,1.74262847295794e-05,"Not Significant"
"TMEM63A",1021.33659757477,0.430753409932532,0.0988654794696208,4.18269100020802e-06,1.7460316060427e-05,"Not Significant"
"OPRM1",14.879804833951,0.451573385883809,0.104113573236576,4.19016584669717e-06,1.74868696951477e-05,"Not Significant"
"SGIP1",365.253176937921,0.420908304437334,0.0964284317970592,4.20023168016627e-06,1.75242193405821e-05,"Not Significant"
"FARP1",1430.89134466178,-0.208017086151938,0.0458449032585406,4.20144923501831e-06,1.75246421333123e-05,"Not Significant"
"C6orf48",8802.48902481495,-0.236756006053762,0.0524070503864539,4.21043908623098e-06,1.75574750740575e-05,"Not Significant"
"ZDHHC23",175.633704377084,0.333933878240457,0.0752211505070739,4.23283988175262e-06,1.76461991884004e-05,"Not Significant"
"XPA",699.253677262513,-0.158267224668013,0.0346884779093561,4.25313045401545e-06,1.772608126574e-05,"Not Significant"
"JUND",10451.5345047123,-0.520129243794166,0.121955966181933,4.25781589401889e-06,1.7740899558412e-05,"Not Significant"
"ZSCAN30",505.229027300315,0.249378687582793,0.0553447479479345,4.26201592308325e-06,1.77536879788822e-05,"Not Significant"
"THBS1",10026.2855190835,0.761441879493701,0.197316433275677,4.26586602925888e-06,1.77650123764892e-05,"Not Significant"
"STARD3",1724.48476562595,-0.351923640004889,0.0795831683890242,4.27000071489088e-06,1.77775155724707e-05,"Not Significant"
"LRCH4",1410.91725564302,-0.321876537614099,0.0723786610348445,4.28099450118539e-06,1.7817889804213e-05,"Not Significant"
"PRDX4",329.078465239676,-0.681726254643526,0.169099238679907,4.28196804020992e-06,1.7817889804213e-05,"Not Significant"
"SLC35A3",631.06739185995,0.294407091090687,0.06587703250563,4.29770835708678e-06,1.7878648968273e-05,"Not Significant"
