"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","category"
"FBXO4",338.501270921534,0.21647004998586,0.0589142529341526,0.000202270659512631,0.000388553695625635,"Not Significant"
"SDR39U1",2991.30966788719,0.188432706571773,0.0511576562540605,0.000203331148755144,0.000390543067709293,"Not Significant"
"CBX5",73.1652913344364,-0.282252693494099,0.0775277586631393,0.000204039237906639,0.000391855172493485,"Not Significant"
"MFSD2A",2721.77901999793,-0.478442334942781,0.137366010292501,0.000204721957611154,0.00039311824052044,"Not Significant"
"IFNAR2",1325.29605965632,0.210829605833163,0.0573965442318461,0.000204927933262251,0.000393417529006766,"Not Significant"
"C20orf202",72.1971856296139,-0.430561914297313,0.121995701798164,0.000204921291620872,0.000393417529006766,"Not Significant"
"MAP3K7CL",612.155463308839,0.305390351579687,0.0842707526700025,0.000206571371043519,0.000396524089177557,"Not Significant"
"SRSF7",5165.51618149069,-0.226098400965549,0.0616981536869585,0.000206871177041353,0.000397051036619711,"Not Significant"
"COG1",660.054259848673,0.278729804914726,0.0766006426143232,0.000207120593556556,0.000397481153751122,"Not Significant"
"NAP1L3",102.995670106263,0.347184463268646,0.0966026432337889,0.000208191745277481,0.000399487949261361,"Not Significant"
"VPS13D",811.586440094727,-0.121998261603189,0.0330139008222947,0.000208237594931234,0.000399527097692823,"Not Significant"
"HS3ST1",77.3090015685894,0.610244626922911,0.183154781252368,0.000208508359871622,0.000399997708942384,"Not Significant"
"DNASE1L3",691.559784165157,-0.593867288657585,0.177239278680527,0.000208694647475096,0.000400306165590593,"Not Significant"
"VPS13B",440.605258261825,-0.140027389422245,0.0379405914070802,0.000208755048890178,0.00040035737313975,"Not Significant"
"MPI",969.29041222746,0.175652622200123,0.047721256697955,0.000208772344834085,0.00040035737313975,"Not Significant"
"HDAC6",1462.58611458741,0.27731836030383,0.0762468101427033,0.000209050460296452,0.000400841747270921,"Not Significant"
"TNNI1",32.7440211702193,-0.474389501875137,0.136263438547446,0.000209079307426308,0.000400848104358657,"Not Significant"
"GRB10",1121.94392374882,-0.270538365098154,0.0743225241795875,0.000209615548323321,0.000401827119496477,"Not Significant"
"PHETA1",458.466364983244,-0.206495783215093,0.0562871392392286,0.000209999647302075,0.000402514279409422,"Not Significant"
"ZNF79",178.924085489139,0.189737276857667,0.0516385229463092,0.000210279530156328,0.000403001540949017,"Not Significant"
"UTP11",378.45115418982,-0.336430804013282,0.0934972997274199,0.000210810836076747,0.000403970478018421,"Not Significant"
"NRP2",1563.77176704633,0.243250667268807,0.0666095711587381,0.000211010879014395,0.000404304466747132,"Not Significant"
"SMARCAL1",405.894584272158,0.168767439371199,0.0458596949685274,0.000211100834228412,0.000404427467649306,"Not Significant"
"PUS10",175.673475659809,-0.206019067950893,0.0561823210222046,0.000211497042501629,0.0004051370872713,"Not Significant"
"ADAT1",1446.92422366666,0.12592486874748,0.034122422104675,0.00021165962809919,0.000405399068092873,"Not Significant"
"POU5F2",9.77529532323041,-0.317663993086944,0.0880072724864564,0.000211922905536955,0.000405853820069553,"Not Significant"
"AGPS",88.7648234967285,-0.586886676891192,0.174980055350225,0.000212248186594427,0.000406377625552744,"Not Significant"
"WDR5B",177.170584249876,0.26013231678983,0.0714214476707438,0.00021224415569298,0.000406377625552744,"Not Significant"
"TEX9",454.297180100358,0.421943789588955,0.119609989806348,0.00021239354158828,0.000406606341048164,"Not Significant"
"LIPH",44.9082862656084,-0.691462181227347,0.214171827001835,0.000213996479805614,0.000409625058881753,"Not Significant"
"TMPRSS3",211.766126554479,0.431742633189934,0.122777305012633,0.000214151154342622,0.000409871159719514,"Not Significant"
"SHBG",39.4065736875894,0.515097227507661,0.150081185061549,0.000214199749493341,0.000409914196373166,"Not Significant"
"CXXC1",2671.02299047855,0.204472135487636,0.0558054328561616,0.000214435041306178,0.000410314460512736,"Not Significant"
"TMPRSS5",62.8123895844074,-0.398469289118589,0.112380403692107,0.000214475107167777,0.000410341114127968,"Not Significant"
"CCDC191",100.963440740564,-0.419088962708786,0.11881921328777,0.000214901671065772,0.00041110713241533,"Not Significant"
"HSD17B7",654.557886860554,-0.240248024595057,0.0658525322213159,0.000215144492613731,0.00041152150755794,"Not Significant"
"C16orf45",760.644290675085,0.329344229664802,0.0915638063682483,0.000215935573928417,0.00041298434774956,"Not Significant"
"GSTM4",460.157291816019,0.290235599322872,0.0801445081355931,0.000215980118716748,0.00041301922824031,"Not Significant"
"LRRC20",291.587846241539,0.272642543621698,0.0750926384415532,0.000216358853135811,0.000413693093926713,"Not Significant"
"NRG1",163.477026850868,-0.34951371905001,0.097573039157039,0.00021643641475406,0.000413791002391469,"Not Significant"
"TEX101",15.5427269873966,-0.703015608419737,0.218966037349507,0.000217110147636961,0.00041502853012301,"Not Significant"
"HOOK2",1788.6143015183,0.305922461977854,0.0847410808587215,0.000217585494118375,0.000415846475317679,"Not Significant"
"ZNF281",302.304382858187,-0.244698973994779,0.0671641550186658,0.000217591006034059,0.000415846475317679,"Not Significant"
"TOB2",19.5846522963205,-0.44171180667245,0.126116303169696,0.000217923088625453,0.000416430439559349,"Not Significant"
"RSPH4A",449.185128748574,0.722933881944005,0.226955128256257,0.00021824835536373,0.0004170012387989,"Not Significant"
"ZNF324",92.000658238275,-0.258070974707513,0.0709767669521868,0.000218291557138095,0.000417033030794365,"Not Significant"
"NAXE",326.102593753552,0.229621170162092,0.0629233367292043,0.000218327495415169,0.000417050940262582,"Not Significant"
"C1orf159",581.531450154437,0.226855277475312,0.0621548904184572,0.000218813499719804,0.000417928460535393,"Not Significant"
"ZFR",536.286070515858,-0.199151440201523,0.0544029991280346,0.00021892505968369,0.000418090674739561,"Not Significant"
"DDR1",3314.67149340913,0.303018578419632,0.0839351499991645,0.000219027201475824,0.000418234865381955,"Not Significant"
"HIST1H2BC",232.687151795811,-0.409552599828449,0.116029401661106,0.000219693156833423,0.000419455498271281,"Not Significant"
"GAB2",307.09154931259,-0.394691167233175,0.111418820395757,0.000219805765471257,0.000419619469588853,"Not Significant"
"LECT2",48.438127352356,-0.320301599653164,0.0890198947098998,0.000219958567494806,0.000419860122756044,"Not Significant"
"RABGGTB",1202.72194845203,-0.315606318091819,0.0876427152134275,0.000220030988935785,0.000419896259425286,"Not Significant"
"SELENON",2572.01513759055,0.210145916121378,0.0574917077024678,0.000220022325143172,0.000419896259425286,"Not Significant"
"INSL6",26.939492544992,-0.585314592520438,0.174964313144343,0.000220384939583888,0.000420520606644026,"Not Significant"
"IL12B",13.9704459368096,0.372839304511754,0.104744985464622,0.000220453861043424,0.000420600998709656,"Not Significant"
"TAF7",2618.06091943172,-0.204159253195224,0.0558435382634031,0.00022140854271798,0.000422371096071966,"Not Significant"
"APOA1",50.9724397537789,-0.463330436911566,0.133263661097232,0.000221632453469608,0.000422746873948833,"Not Significant"
